Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Area
Rajasthan,30-09-2020, Monthly,8.19,4848702,42.31,Rural
Rajasthan,30-09-2020, Monthly,8.49,1394274,44.52,Urban
Tamil Nadu,30-09-2020, Monthly,11.37,2713136,45.85,Rural
Tamil Nadu,30-09-2020, Monthly,10.55,2738993,49.65,Urban
Uttar Pradesh,30-09-2020, Monthly,8.92,2924401,49.73,Rural
Uttar Pradesh,30-09-2020, Monthly,9.83,2055146,44.89,Urban
West Bengal,30-09-2020, Monthly,9.95,3906495,41.33,Rural
West Bengal,30-09-2020, Monthly,9.45,3048891,46.73,Urban
Andhra Pradesh,31-10-2020, Monthly,11.07,4122951,41.56,Rural
Andhra Pradesh,31-10-2020, Monthly,9.86,2819822,46.93,Urban
Bihar,31-10-2020, Monthly,12.24,3709449,40.18,Rural
Bihar,31-10-2020, Monthly,9.64,2507630,45.71,Urban
Delhi,31-10-2020, Monthly,8.98,1316205,49.19,Rural
Delhi,31-10-2020, Monthly,11.28,3864781,43.94,Urban
Gujarat,31-10-2020, Monthly,9.82,3657499,41.59,Rural
Gujarat,31-10-2020, Monthly,10.06,1978080,44.07,Urban
Haryana,31-10-2020, Monthly,12.05,3619980,42.89,Rural
Haryana,31-10-2020, Monthly,8.74,3329701,43.27,Urban
Karnataka,31-10-2020, Monthly,11.29,3432593,48.78,Rural
Karnataka,31-10-2020, Monthly,10.01,3887296,41.2,Urban
Maharashtra,31-10-2020, Monthly,9.19,2576590,46.3,Rural
Maharashtra,31-10-2020, Monthly,10.57,3305938,43.89,Urban
Punjab,31-10-2020, Monthly,9.27,1880112,44.44,Rural
Punjab,31-10-2020, Monthly,8.23,3042823,46.68,Urban
Rajasthan,31-10-2020, Monthly,10.4,4777538,45.42,Rural
Rajasthan,31-10-2020, Monthly,12.5,1747419,40.26,Urban
Tamil Nadu,31-10-2020, Monthly,9.13,2654753,45.27,Rural
Tamil Nadu,31-10-2020, Monthly,8.94,4481642,47.65,Urban
Uttar Pradesh,31-10-2020, Monthly,11.69,2913722,45.21,Rural
Uttar Pradesh,31-10-2020, Monthly,11.15,1987471,46.47,Urban
West Bengal,31-10-2020, Monthly,11.08,2188554,43.8,Rural
West Bengal,31-10-2020, Monthly,8.75,1955154,41.01,Urban
Andhra Pradesh,30-11-2020, Monthly,9.46,3977331,46.7,Rural
Andhra Pradesh,30-11-2020, Monthly,11.78,4667591,43.11,Urban
Bihar,30-11-2020, Monthly,10.87,1700336,49.77,Rural
Bihar,30-11-2020, Monthly,11.34,1754950,46.81,Urban
Delhi,30-11-2020, Monthly,8.78,1265798,42.95,Rural
Delhi,30-11-2020, Monthly,10.54,4265463,49.63,Urban
Gujarat,30-11-2020, Monthly,10.55,2811840,43.74,Rural
Gujarat,30-11-2020, Monthly,9.33,3709644,46.02,Urban
Haryana,30-11-2020, Monthly,12.05,3322312,47.94,Rural
Haryana,30-11-2020, Monthly,9.94,2807992,48.4,Urban
Karnataka,30-11-2020, Monthly,11.31,3329753,42.56,Rural
Karnataka,30-11-2020, Monthly,9.67,3526819,44.24,Urban
Maharashtra,30-11-2020, Monthly,9.86,4489443,41.5,Rural
Maharashtra,30-11-2020, Monthly,9.0,4696176,47.37,Urban
Punjab,30-11-2020, Monthly,10.88,1049104,41.78,Rural
Punjab,30-11-2020, Monthly,8.71,1564678,45.47,Urban
Rajasthan,30-11-2020, Monthly,8.71,4119612,40.58,Rural
Rajasthan,30-11-2020, Monthly,8.12,2577222,46.95,Urban
Tamil Nadu,30-11-2020, Monthly,9.47,4439782,47.25,Rural
Tamil Nadu,30-11-2020, Monthly,7.75,2493293,41.04,Urban
Uttar Pradesh,30-11-2020, Monthly,11.05,4105958,47.73,Rural
Uttar Pradesh,30-11-2020, Monthly,9.35,1204451,41.92,Urban
West Bengal,30-11-2020, Monthly,8.75,3165160,46.17,Rural
West Bengal,30-11-2020, Monthly,10.43,3823099,48.0,Urban
